iconCategory;magnitudeOfDelay;startTime;endTime;length;delay;roadNumbers;events;coordinates;date;time;site
6;2;2021-05-07T06:58:30Z;2021-05-07T18:04:30Z;633.741;109;['N103'];Queuing traffic;[[-8.4043640337, 41.5535974541], [-8.4042366288, 41.5536444349], [-8.4040180287, 41.553738271], [-8.4036291084, 41.5539006021], [-8.4031315587, 41.5541084707], [-8.4026541254, 41.5543082471], [-8.4016134284, 41.5547441152], [-8.4014471314, 41.5548125467], [-8.4010515056, 41.5549761296], [-8.4008785031, 41.5550498923], [-8.4008342466, 41.5550686466], [-8.4007095239, 41.5551209578], [-8.4005579791, 41.5551853746], [-8.4004520318, 41.5552309744], [-8.4002857349, 41.5552926312], [-8.4001811287, 41.5552966455], [-8.3997291765, 41.5554777269], [-8.3992906353, 41.5556547307], [-8.3991927347, 41.5556936188], [-8.3990572832, 41.5557526409], [-8.398939266, 41.5558009373], [-8.398683115, 41.5559068758], [-8.3985248647, 41.555968532], [-8.3983424745, 41.5560302508], [-8.3981748364, 41.5560825613], [-8.3981278977, 41.5560959839], [-8.3978905222, 41.5561643512], [-8.3977537296, 41.556203239], [-8.397630348, 41.5562314013]];07/05/2021;18:45:13;Braga
6;3;2021-05-07T05:44:30Z;2021-05-07T19:30:30Z;10522.828;1926;['E01', 'IC23', 'IP1', 'A20'];Stationary traffic;[[-8.5757773064, 41.0876803666], [-8.5757625542, 41.0880182877], [-8.5757545076, 41.0881229046], [-8.575746461, 41.0882127385], [-8.5757370732, 41.0882824828], [-8.5757156155, 41.0884367541], [-8.5756847701, 41.0886110511], [-8.5756499014, 41.088793434], [-8.5756244204, 41.0888886999], [-8.5755975984, 41.0889919255], [-8.5755359075, 41.0891863734], [-8.5754996977, 41.0892829654], [-8.5754768989, 41.0893460122], [-8.5754286192, 41.0894801288], [-8.5752609811, 41.0898743908], [-8.5752274535, 41.0899508297], [-8.5750745676, 41.0902860859], [-8.5750034891, 41.0904457221], [-8.5748398743, 41.0907943682], [-8.5747942768, 41.090893611], [-8.5746333442, 41.0912369484], [-8.5746024988, 41.0913147123], [-8.5744107209, 41.0917157225], [-8.5743570767, 41.0918337257], [-8.5742725871, 41.0920188159], [-8.5741545699, 41.0922629068], [-8.574001684, 41.0925793897], [-8.5739440165, 41.0927094568], [-8.5738930545, 41.092831501], [-8.5738702557, 41.0928851954], [-8.5735752128, 41.0935490434], [-8.5735121808, 41.0937139779], [-8.5734290324, 41.0939298891], [-8.5733780704, 41.0940881268], [-8.5733110152, 41.0942906451], [-8.5732694409, 41.0944314474], [-8.573218479, 41.0946152038], [-8.5731648348, 41.0948016127], [-8.5731058262, 41.0950202366], [-8.5730709575, 41.0951945793], [-8.5728845439, 41.0959589657], [-8.5726954482, 41.0966858857], [-8.5725184224, 41.0973563908], [-8.5724500261, 41.0975844179], [-8.5723936997, 41.0977386042], [-8.5723239622, 41.0979263938], [-8.5722837291, 41.0980564503], [-8.5722595892, 41.0981168359], [-8.5721911929, 41.0982724105], [-8.5721576653, 41.0983367752], [-8.5720946334, 41.0984454181], [-8.5720758579, 41.0984721999], [-8.572051718, 41.098513762], [-8.5718921266, 41.0987900425], [-8.571833118, 41.0988799249], [-8.571782156, 41.0989483316], [-8.5716480456, 41.0991226639], [-8.5715461216, 41.0992473491], [-8.5714495621, 41.099360033], [-8.5713811658, 41.099433808], [-8.5712966762, 41.0995236264], [-8.5711558602, 41.0996630911], [-8.5709694467, 41.0998334422], [-8.5707481645, 41.1000157939], [-8.5704705558, 41.1002290316], [-8.570113822, 41.100490588], [-8.5696270011, 41.100829896], [-8.5691924832, 41.1011235993], [-8.5688746415, 41.1013555925], [-8.5687458954, 41.1014454083], [-8.56849645, 41.1016278186], [-8.5682617567, 41.1018169236], [-8.5681517861, 41.1019188657], [-8.5679814659, 41.102070389], [-8.5678714953, 41.1021803521], [-8.5676421664, 41.1024177102], [-8.5674235664, 41.1026738892], [-8.5672076486, 41.1029675843], [-8.5668723724, 41.1034798739], [-8.5666966877, 41.1038299035], [-8.5666725479, 41.103880873], [-8.566571965, 41.1041021826], [-8.5664526067, 41.1043704183], [-8.5664284668, 41.1044186716], [-8.5663962803, 41.1044883988], [-8.5662420533, 41.1048237071], [-8.5662085257, 41.1048960865], [-8.5661951146, 41.1049269709], [-8.5661723159, 41.1049752237], [-8.5659926079, 41.1053788664], [-8.5658209465, 41.105795959], [-8.5657176814, 41.1060387355], [-8.5656694017, 41.1061809021], [-8.5656117342, 41.1063525627], [-8.5656010054, 41.1063927936], [-8.5655473612, 41.1065966002], [-8.5655379734, 41.106636831], [-8.5654829882, 41.1069560235], [-8.5654534839, 41.1072671937], [-8.5654494605, 41.1074670189], [-8.5654467783, 41.1075957302], [-8.5654628716, 41.107945801], [-8.5655017636, 41.1082407988], [-8.5655715011, 41.1085399004], [-8.5656519673, 41.1088067918], [-8.5657163403, 41.1090066122], [-8.5658450864, 41.1093230776], [-8.5659496925, 41.1095417164], [-8.56601943, 41.1096731393], [-8.5660985551, 41.1098125824], [-8.5662420533, 41.1100351981], [-8.5664163969, 41.1102859794], [-8.5665639184, 41.110483143], [-8.5668683491, 41.1108586489], [-8.5670185528, 41.1110316234], [-8.5672787271, 41.111317324], [-8.5675362192, 41.1115975922], [-8.5685715518, 41.1127254737], [-8.5690127752, 41.1131841357], [-8.5694875262, 41.1137004503], [-8.5698013447, 41.1140397532], [-8.569908633, 41.114147044], [-8.5702559791, 41.1145506934], [-8.5706314884, 41.1149570557], [-8.5709211669, 41.1152870061], [-8.5710593007, 41.1154626843], [-8.5712711952, 41.1157885276], [-8.5713798247, 41.1159776549], [-8.5714106701, 41.1160272889], [-8.571512594, 41.11624319], [-8.5716386578, 41.1165435811], [-8.5717231474, 41.1167782983], [-8.5717446051, 41.1168587473], [-8.5717969082, 41.1170532389], [-8.5718545757, 41.1172959738], [-8.5718934677, 41.117527973], [-8.5719082199, 41.1176124624], [-8.5719135843, 41.1176459929], [-8.5719497941, 41.1178431344], [-8.5719725929, 41.1181516009], [-8.5720114849, 41.1185981643], [-8.5720490358, 41.1189951561], [-8.5720946334, 41.1193920824], [-8.5721590064, 41.1198051711], [-8.5722206972, 41.120105546], [-8.5723239622, 41.1205226714], [-8.5723440788, 41.1205910554], [-8.5724205218, 41.1208578978], [-8.5725599966, 41.121304506], [-8.5726914249, 41.1217175827], [-8.5732667587, 41.123536112], [-8.5734303735, 41.1240591643], [-8.5736704312, 41.1247913926], [-8.5737535797, 41.1250368139], [-8.5739641331, 41.1256577186], [-8.5740741036, 41.1259876784], [-8.5741773687, 41.1262625804], [-8.5742873392, 41.126526748], [-8.5743973098, 41.1267722259], [-8.5745300792, 41.127026984], [-8.5746977172, 41.127354222], [-8.5748345099, 41.1276345481], [-8.5749699614, 41.1278772439], [-8.5751738093, 41.1282554283], [-8.5752931676, 41.1284740671], [-8.575400456, 41.1286698502], [-8.5754715345, 41.1288187232], [-8.5755372486, 41.128935397], [-8.5756136916, 41.1291003689], [-8.5757223211, 41.1293511405], [-8.5758054696, 41.1295791195], [-8.5758711837, 41.1297762883], [-8.5759342156, 41.1300324237], [-8.5759771309, 41.1302134919], [-8.5760026119, 41.1303811122], [-8.5760321162, 41.1305755638], [-8.5760535739, 41.1307592821], [-8.5760871015, 41.1309886452], [-8.576105877, 41.1311482456], [-8.5761970721, 41.1319435271], [-8.576285585, 41.132659632], [-8.576349958, 41.1330338115], [-8.5764036022, 41.1332578006], [-8.576453223, 41.1334200469], [-8.576517596, 41.1335809671], [-8.5765645347, 41.1336976325], [-8.5766463421, 41.1338747134], [-8.5766825519, 41.1339323514], [-8.5767549715, 41.1340624628], [-8.5768461666, 41.134208609], [-8.5769038341, 41.1342944659], [-8.5769775949, 41.1343937061], [-8.5771023176, 41.1345680074], [-8.5773919962, 41.1348832132], [-8.5774912379, 41.1349703949], [-8.5777420245, 41.1352144523], [-8.5778412662, 41.135293553], [-8.577928438, 41.1353566189], [-8.5782596908, 41.1355765597], [-8.5784367166, 41.1356838153], [-8.5787183485, 41.1358447931], [-8.5789275608, 41.1359762265], [-8.5791179977, 41.1360955389], [-8.5792333327, 41.1361747017], [-8.5793312333, 41.1362511498], [-8.5794586382, 41.136340981], [-8.5796115241, 41.1364522756], [-8.5797241769, 41.1365368038], [-8.579879745, 41.1366722128], [-8.5800339721, 41.1368465712], [-8.5801761291, 41.1370115231], [-8.5802713476, 41.1371644174], [-8.580354496, 41.1373065797], [-8.5804295979, 41.1374527818], [-8.580495312, 41.1376016349], [-8.5805435918, 41.1377303503], [-8.5805865071, 41.1378913231], [-8.5806079648, 41.1379610147], [-8.5806280814, 41.1380602494], [-8.5806347869, 41.1381501412], [-8.5806414924, 41.1382386442], [-8.5806602679, 41.1383874955], [-8.5806817255, 41.138628889], [-8.5806803844, 41.1387522998], [-8.5806817255, 41.1388367619], [-8.5806830666, 41.1388998243], [-8.5807018421, 41.1390446341], [-8.5807018421, 41.1391747354], [-8.5806991599, 41.139322259], [-8.580725982, 41.13990427], [-8.5807326875, 41.1406096832], [-8.5807662151, 41.1414184215], [-8.5807930372, 41.1419065506], [-8.5808077894, 41.1423906995], [-8.580854728, 41.1433294457], [-8.5808775268, 41.143599036], [-8.5808815501, 41.1436580541], [-8.5808855734, 41.1437774158], [-8.5808895967, 41.1438712764], [-8.5809003256, 41.1440711163], [-8.5809097133, 41.1442561855], [-8.5809378765, 41.1448730581], [-8.5809405587, 41.1450353388], [-8.5809499464, 41.1451962937], [-8.5809539698, 41.1452821361], [-8.580956652, 41.1453585736], [-8.5809687219, 41.145717974], [-8.5809660397, 41.1458587923], [-8.5809539698, 41.145983515], [-8.580931171, 41.1461189676], [-8.5809030078, 41.1462557454], [-8.5808574102, 41.1464180227], [-8.5808037661, 41.1465776487], [-8.580739393, 41.1467197906], [-8.5806777022, 41.1468632577], [-8.5806280814, 41.1469357169], [-8.5805409096, 41.1470658026], [-8.5804751954, 41.1471650235], [-8.580290123, 41.1473890274], [-8.5801962457, 41.1474949382], [-8.5800983451, 41.147598198], [-8.579789891, 41.1479428799], [-8.5797322235, 41.1480085844], [-8.5796262763, 41.1481238987], [-8.5794760726, 41.1483036546], [-8.5793889008, 41.1484162543], [-8.5792051695, 41.1486643643], [-8.5791367731, 41.1487757011], [-8.5790670357, 41.1488896885], [-8.5789597474, 41.1490854738], [-8.5789275608, 41.1491605815], [-8.5788940332, 41.1492598623], [-8.5788605056, 41.1494073632], [-8.5788363657, 41.149522675], [-8.5788216136, 41.1496473907], [-8.5788095436, 41.1497600512], [-8.578801497, 41.1498566172], [-8.578801497, 41.1499076141], [-8.5788082025, 41.1500403447], [-8.5788256369, 41.1501557184], [-8.5788444124, 41.1502495699], [-8.5788873277, 41.1504064726], [-8.5789530418, 41.1505968887], [-8.5790683768, 41.1508383003], [-8.579135432, 41.1509509588], [-8.5791515253, 41.1509777822], [-8.5792614959, 41.1511360717], [-8.5793875597, 41.151295623], [-8.5796557806, 41.1515786238], [-8.5796785794, 41.1516027331], [-8.5798743806, 41.1517824795], [-8.5799280248, 41.1518280472], [-8.580084934, 41.1519715662], [-8.580186858, 41.1520587251], [-8.5803303562, 41.1521686676], [-8.580366566, 41.152196879], [-8.5804510556, 41.1522652301], [-8.5806267403, 41.1524033836], [-8.580790355, 41.1525308076], [-8.5808654569, 41.1525937938], [-8.5809459231, 41.1526622075], [-8.5811457477, 41.152831222], [-8.5812838815, 41.1529572568], [-8.5813898287, 41.1530497789], [-8.5816003821, 41.1532589946], [-8.5818055711, 41.1534748994], [-8.5818914018, 41.1535768244], [-8.5820322178, 41.1537284178], [-8.5821475528, 41.1538705442], [-8.5822454534, 41.1539979654], [-8.5823916338, 41.1542031389], [-8.582445278, 41.1542849305], [-8.5824814878, 41.1543426136], [-8.582599505, 41.1545464608], [-8.5826705835, 41.1546805704], [-8.5827658019, 41.1548991842], [-8.5828409038, 41.1551017043], [-8.5828999124, 41.1552894561], [-8.5829642854, 41.1555295252], [-8.5830072008, 41.1557480731], [-8.5830219529, 41.1558821802], [-8.5830286584, 41.1559760866], [-8.5830367051, 41.1560391326], [-8.5830407284, 41.156083372], [-8.5830501161, 41.1561732391], [-8.5830514572, 41.1562617178], [-8.5830206118, 41.1567445615], [-8.5830139063, 41.1568880698], [-8.5829656265, 41.1571522402], [-8.5829401455, 41.1572581984], [-8.5829280756, 41.157302437], [-8.5828999124, 41.1574164096], [-8.5828516326, 41.1575921012], [-8.5827564142, 41.1578831525], [-8.5827215455, 41.1579797066], [-8.5826652191, 41.1581299015], [-8.5825820706, 41.1583364504], [-8.5824010215, 41.1587923956], [-8.5822937332, 41.1590525827], [-8.5821314595, 41.1594481938], [-8.5819825969, 41.1598089684], [-8.5818109355, 41.1602287442], [-8.5816862128, 41.1605344872], [-8.5815829478, 41.1607852648], [-8.5813898287, 41.1612801281], [-8.581278517, 41.1615711631], [-8.581214144, 41.161749557], [-8.5811900041, 41.1618286888], [-8.58113636, 41.1619990048], [-8.5811095379, 41.1621089306], [-8.5810894213, 41.1622296469], [-8.5810746692, 41.1623087781], [-8.5810693047, 41.1624013501], [-8.5810733281, 41.1624750543], [-8.5810786925, 41.1625850424], [-8.5810840569, 41.1627017193], [-8.5810947857, 41.1628224345], [-8.581098809, 41.162901565], [-8.5811068557, 41.1629793071], [-8.5811175845, 41.1630678396], [-8.5811524532, 41.1631885542], [-8.5812087796, 41.1633092685], [-8.5812557183, 41.1633843598], [-8.58135496, 41.163539906], [-8.5814327441, 41.1637209448], [-8.5815038226, 41.1638309309], [-8.5818390987, 41.1644183404], [-8.5818605564, 41.1644545603], [-8.5818954251, 41.1645135597], [-8.5819879613, 41.1646838687], [-8.5820174656, 41.1647361792], [-8.5820349, 41.1647683605], [-8.5821690104, 41.1650044195], [-8.5822937332, 41.1651894927], [-8.5824157737, 41.1654107848], [-8.582458689, 41.1654697833], [-8.5825418375, 41.1655783782], [-8.5826477847, 41.1657071649], [-8.582677289, 41.1657433841], [-8.5827309332, 41.1657983439], [-8.5828060351, 41.1658747575], [-8.5829361222, 41.1659901034], [-8.5830648683, 41.1660866455], [-8.5832740806, 41.1662274831], [-8.5834698818, 41.1663334267], [-8.5837099395, 41.1664420832], [-8.5838775776, 41.1665077693], [-8.5840438745, 41.1665574281], [-8.5843670807, 41.1666271524], [-8.5845186255, 41.166648606], [-8.5846165262, 41.1666606579], [-8.5847519777, 41.1666740979], [-8.5848163507, 41.1666767481], [-8.5852709852, 41.1667089284], [-8.5857283018, 41.1667384587], [-8.5859039865, 41.1667612373], [-8.5861534319, 41.1668081827], [-8.5863545976, 41.1668604915], [-8.5865088246, 41.166910087], [-8.586705967, 41.1669838492], [-8.5868575118, 41.1670509228], [-8.5869567535, 41.1671059446], [-8.5872276566, 41.1672561186], [-8.587424799, 41.1673607354], [-8.5876004837, 41.1674519121], [-8.5878016494, 41.167564542], [-8.5879089377, 41.1676208884], [-8.5879652641, 41.16764638], [-8.5880323193, 41.1676839232], [-8.5882656715, 41.1678207191], [-8.5890180312, 41.1682418317], [-8.5891856692, 41.1683424087], [-8.5898749969, 41.1687555047], [-8.5901794277, 41.168933816], [-8.5902880571, 41.1689995626], [-8.5903792522, 41.1690545197], [-8.5907011173, 41.169254346], [-8.5908781431, 41.1693696859], [-8.5910833321, 41.169497077], [-8.5912590168, 41.1696084415], [-8.5914333604, 41.1697210677], [-8.5915862463, 41.1698162793], [-8.5917579077, 41.1699289682], [-8.5921226881, 41.1701716968], [-8.5925505004, 41.1704613672], [-8.5926805876, 41.1705445266], [-8.5927851937, 41.1706115335], [-8.5931177876, 41.1708328704], [-8.5934704981, 41.1710648695]];07/05/2021;18:45:14;Porto
6;2;2021-05-07T06:15:00Z;2021-05-07T19:45:00Z;1754.017;172;[];Queuing traffic;[[-8.4066948733, 41.5529014564], [-8.4067190132, 41.5530382604], [-8.406755223, 41.5532461317], [-8.4068651936, 41.5538697417], [-8.4068920157, 41.5540561586], [-8.4069282255, 41.5545121], [-8.4069456599, 41.5547039094], [-8.4069738231, 41.5550190324], [-8.4069925985, 41.5551799804], [-8.4070073507, 41.5552953283], [-8.4070194206, 41.5553958734], [-8.4070301495, 41.5554803612], [-8.4070328317, 41.5555568204], [-8.4070583127, 41.5558049516], [-8.4070744059, 41.5559350382], [-8.4070985458, 41.5561697453], [-8.4071481667, 41.556661925], [-8.4071629188, 41.5568134607], [-8.4071749887, 41.5569408482], [-8.4071991286, 41.5571728547], [-8.407204493, 41.5572385866], [-8.4072138808, 41.5573337973], [-8.4072326562, 41.5575229013], [-8.4072407029, 41.557630154], [-8.4072635016, 41.5578836712], [-8.4072836182, 41.5580486262], [-8.4072983704, 41.558222926], [-8.4073251924, 41.558475061], [-8.407345309, 41.5586413943], [-8.4073748133, 41.558920309], [-8.4074029765, 41.5593762788], [-8.4074177287, 41.5596928216], [-8.4074297986, 41.5598899466], [-8.407447233, 41.5603003135], [-8.4074512563, 41.5604625654], [-8.4074686906, 41.5608622666], [-8.4074686906, 41.5611599869], [-8.4074780784, 41.5612283489], [-8.4074914894, 41.561371846], [-8.4075008771, 41.5615770564], [-8.4075156293, 41.5617218698], [-8.4075384281, 41.5618251645], [-8.4075639091, 41.561885498], [-8.4076188943, 41.5619659635], [-8.4077221594, 41.5620866929], [-8.4078307888, 41.5621980146], [-8.4079260073, 41.5622730861], [-8.4080695055, 41.5623642756], [-8.4082223914, 41.5624380299], [-8.4084436736, 41.5625171777], [-8.4086595914, 41.5625614552], [-8.4087655387, 41.5625788276], [-8.4089439056, 41.5625949456], [-8.4090833805, 41.5625922488], [-8.4091866455, 41.5625855382], [-8.4093408725, 41.5625734967], [-8.4100825033, 41.5624688862], [-8.4102850101, 41.5624447405], [-8.4108013353, 41.5623857246], [-8.411156728, 41.5623374331], [-8.4115013919, 41.5622892042], [-8.4117387674, 41.5622650584], [-8.4120391748, 41.5622315052], [-8.4123516521, 41.5621980146], [-8.4127124093, 41.5621550539], [-8.4131831369, 41.5621027483], [-8.4136726401, 41.5620558363], [-8.4142882071, 41.5620048478], [-8.4146543286, 41.561975371], [-8.4150016747, 41.5619431973], [-8.4154844723, 41.5618976023], [-8.4158103607, 41.5618573382], [-8.4158505938, 41.5618533243], [-8.4160611472, 41.5618304954], [-8.4161389313, 41.5618211506]];07/05/2021;20:25:25;Braga
8;4;2021-02-11T15:01:00Z;None;99.663;0;[];Closed;[[-8.5836804352, 41.1503970686], [-8.5839419506, 41.149522675]];07/05/2021;20:25:26;Porto
6;3;2021-05-07T19:05:00Z;2021-05-07T19:50:00Z;252.022;233;[];Stationary traffic;[[-8.3983800254, 41.5530664241], [-8.3978476069, 41.5530891933], [-8.3968511662, 41.5531482178], [-8.3966473184, 41.5531509149], [-8.3957340262, 41.553161641], [-8.3956227145, 41.5531066309], [-8.3955449305, 41.5530677413], [-8.3954188666, 41.5530047024]];07/05/2021;20:30:26;Braga
8;4;2021-02-24T00:00:00Z;2021-05-08T22:59:59Z;136.902;0;[];Closed, Roadworks;[[-8.4255964003, 41.553822761], [-8.4255400739, 41.553897905], [-8.4244980357, 41.5545322344], [-8.4243464909, 41.5546140263]];07/05/2021;20:35:27;Braga
8;4;2021-02-24T00:00:00Z;2021-05-08T22:59:59Z;128.595;0;[];Closed, Roadworks;[[-8.4255964003, 41.553822761], [-8.4255400739, 41.553897905], [-8.4244980357, 41.5545322344], [-8.4244269571, 41.554569806]];08/05/2021;06:16:55;Braga
6;1;2021-05-08T07:06:30Z;2021-05-08T09:22:00Z;128.595;33;['N101'];Slow traffic;[[-8.418996825, 41.5645086969], [-8.4189498863, 41.5644175104], [-8.4189244053, 41.5643665237], [-8.4188868544, 41.5642793507], [-8.4188291869, 41.56409566], [-8.4187889538, 41.5639669069], [-8.4187178752, 41.5637026893], [-8.4187044642, 41.5636088049], [-8.4186950765, 41.563415705], [-8.4186816654, 41.5630791115], [-8.4186736188, 41.5629127896], [-8.4186709366, 41.5628564709], [-8.4186709366, 41.5628390359], [-8.4186722777, 41.5627987724], [-8.418676301, 41.5627142941], [-8.4186789832, 41.5626419199], [-8.4187138519, 41.5624232916], [-8.4187648139, 41.5620745886], [-8.4187728605, 41.561976688], [-8.4187782249, 41.5619109609], [-8.4187876127, 41.5618157569], [-8.418805047, 41.5617218698], [-8.4189016066, 41.5616562052]];08/05/2021;10:02:28;Braga
6;2;2021-05-08T07:33:00Z;2021-05-08T09:47:00Z;262.461;58;[];Queuing traffic;[[-8.4071213446, 41.5551129292], [-8.4071562133, 41.5549935667], [-8.4071481667, 41.5549305297], [-8.4071253679, 41.5547642495], [-8.4071159801, 41.5546971979], [-8.4071106157, 41.5546556121], [-8.407101228, 41.5545912575], [-8.40692152, 41.5532756125], [-8.4069054267, 41.5531576265], [-8.4069000623, 41.5530301688], [-8.4069483421, 41.5528531578], [-8.406947001, 41.5527686665]];08/05/2021;10:27:32;Braga
6;2;2021-05-08T08:32:00Z;2021-05-08T10:07:00Z;515.644;95;[];Queuing traffic;[[-8.3991364083, 41.5431328626], [-8.399208828, 41.5435526205], [-8.3992396734, 41.5437001092], [-8.399286612, 41.5440743186], [-8.3993134341, 41.5442982786], [-8.399298682, 41.5444618881], [-8.3992785654, 41.5446000274], [-8.3992691777, 41.5446670894], [-8.3992544255, 41.5447019065], [-8.3992436967, 41.5447032866], [-8.399222239, 41.5447167115], [-8.3991887114, 41.5447287563], [-8.3991645715, 41.5447488938], [-8.3991310439, 41.5447864083], [-8.3991162918, 41.5448253029], [-8.399106904, 41.5448494552], [-8.3991001985, 41.5448763051], [-8.3991015396, 41.5448896672], [-8.3991028807, 41.5449352743], [-8.3991109273, 41.5449607439], [-8.3990706942, 41.5450881548], [-8.3990318022, 41.5451739735], [-8.3989942512, 41.5452357027], [-8.3988199077, 41.5454676884], [-8.3986764095, 41.5456246453], [-8.3985382757, 41.5457573872], [-8.3984055064, 41.5458995386], [-8.3982834659, 41.5460229327], [-8.3981104634, 41.5461959477], [-8.3979763529, 41.5463448104], [-8.3978476069, 41.5464775507], [-8.3977255664, 41.5465942315], [-8.3976290069, 41.5466760334], [-8.3975579283, 41.5466961702], [-8.3974855087, 41.5467377612], [-8.3974305234, 41.5467725771], [-8.3973594449, 41.5468289099], [-8.397284343, 41.5468906375], [-8.3972306988, 41.5469469701], [-8.3971891246, 41.5470046201], [-8.397143527, 41.5470824067], [-8.3971059761, 41.5471628906], [-8.3970898828, 41.5472084333]];08/05/2021;10:47:38;Braga
