"magnitudeOfDelay","length","delay","events","roadNumbers","coords","date&time diff","Day of week (number)","Hour","n_incidents"
2,4804.546,477.071,3,5,55.143,133.929,4,7.5,14
2.455,1933.913,312,3,10,123.545,132.364,4,8.636,11
2,1619.623,185.4,3,0,75.8,188.5,4,9.3,10
1.6,295.478,144.2,3,8,68.2,216.8,4,11,5
3,188.351,173,5,0,116,39,4,12,1
2.5,769.184,384,5,0,119,209.625,4,12.75,8
2.167,994.273,150.833,5,0,142,175.5,4,13.333,6
1.6,695.128,76.8,4,0,133.6,377.2,4,14.2,5
2,318.392,86.857,4,0,120.286,349.571,4,15.286,7
2.2,727.25,145.8,5,0,84.9,448.3,4,16.8,10
2.25,1871.093,224.583,3,5,59.5,544.333,4,17.583,12
2.071,1143.448,147.929,3,0,100.5,471.929,4,18.5,14
1.8,512.182,72.2,4,0,144.8,621.2,4,19,5
3,161.319,203,5,8,91,21,4,21,1
1,501.027,44,4,0,165,913,4,21,1
1.667,2278.983,201.167,3,5,75.167,145.333,5,7.333,6
2.313,1509.572,228.687,5,5,108.5,107.312,5,8.438,16
2.824,1520.276,437.471,5,5,62.118,146.176,5,9.471,17
2.063,779.555,111.375,5,5,101.688,210.375,5,10.5,16
2.5,943.837,169.375,5,5,49.875,312.5,5,11.375,8
2.8,1493.924,699.6,5,0,154.6,485.8,5,14.6,5
2.667,780.697,218,5,0,133,387,5,15,3
2,326.747,185,3,8,76,34,5,23,1
4,118.283,0,1,0,40.5,69816.5,6,2,2
