"magnitudeOfDelay","length","delay","events","roadNumbers","coords","date&time diff","Day of week (number)","Hour","n_incidents"
1.6,695.128,76.8,4,0,65.6,377.2,4,14.2,5
2,318.392,86.857,4,0,52.286,349.571,4,15.286,7
1.833,494.658,104.167,4,0,61.333,430.5,4,16.667,6
3,227.791,68,5,0,109,503.5,4,17.5,2
2.571,360.841,123.714,5,0,107.429,272,4,18.714,7
1.8,512.182,72.2,4,0,76.8,621.2,4,19,5
3,161.319,203,5,8,23,21,4,21,1
1,501.027,44,4,0,97,913,4,21,1
2,305.566,52.5,3,8,71,47,5,7.5,2
2.286,505.515,123.714,5,0,134,62.571,5,8.429,7
2.571,363.835,125.571,5,0,53.857,86.143,5,9.429,7
1.375,772.716,81.875,4,0,91,215.875,5,10.625,8
1,286.594,25,4,8,24,314,5,12,1
2.8,1493.924,699.6,5,0,86.6,485.8,5,14.6,5
2.667,780.697,218,5,0,65,387,5,15,3
2,326.747,185,3,8,8,34,5,23,1
4,136.902,0,1,0,4,6444,6,2,1
